Region,Country,Size,Owned by,SME?,# Enterprises,Have Checking,Have Overdraft,Have Loan,Have Access to Credit,Access to finance as major/severe barrier,Does not need credit,Unserved,Underserved,Well served,Loan size - average size per revenue,Average loan duration (months),Loan rejection rate,Private Commercial Bank as Source of Financing,State-owned Bank and/or Govt. Agency as Source of Financing,Non-bank Financial Institution as Source of Financing,Other Source of Financing,Average credit value gap per enterprise,Total credit value gap,Average deposit gap per enterprise,Total deposit gap
,Cuba,,Female,,473961,,15%,15%,15%,,46%,39%,10%,4%,,,,,,,,20796,9856673498,5529,2620529078
,Czech Republic,,Female,,356733,76%,30%,20%,34%,5%,37%,29%,29%,5%,15%,,23%,74%,26%,0%,1%,26339,9395933839,8909,3178114838
,Democratic People's Republic of Korea,,Female,,1043116,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,8339,8698042412,12016,12533717002
,Denmark,,Female,,102124,,,,,,,,,,,,,,,,,,,,
,Djibouti,,Female,,12389,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,4902,60731500,263,3254890
,Dominican Republic,,Female,,160261,,15%,15%,15%,,46%,39%,10%,4%,,,,,,,,7718,1236873310,3134,502211147
,Ecuador,,Female,,840013,59%,26%,22%,27%,22%,40%,32%,21%,6%,12%,,,83%,1%,16%,0%,14925,12537501375,1977,1661009968
,Egypt,,Female,,1918688,66%,7%,9%,11%,34%,48%,41%,8%,3%,28%,29.8,100%,,,,,2190,4201305077,1535,2945076579
,El Salvador,,Female,,354099,41%,16%,16%,17%,18%,45%,38%,12%,5%,13%,,,98%,2%,0%,1%,3492,1236577601,1160,410752621
,Equatorial Guinea,,Female,,9333,,10%,10%,10%,,49%,42%,7%,3%,,,,,,,,26377,246162921,5529,51596293
,Eritrea,,Female,,77102,,10%,10%,10%,,49%,42%,7%,3%,,,,,,,,1946,150042649,545,41994240
,Estonia,,Female,,26569,68%,23%,26%,33%,8%,40%,27%,11%,22%,8%,,14%,79%,2%,10%,9%,16278,432490065,5991,159165622
,Ethiopia,,Female,,719630,50%,14%,16%,18%,31%,46%,36%,12%,6%,,25.73,7%,88%,9%,3%,1%,3347,2408553040,505,363429198
,Fiji,,Female,,37982,53%,10%,10%,14%,3%,47%,39%,9%,5%,22%,,,100%,0%,0%,0%,5738,217948952,15608,592833645
,Finland,,Female,,109945,,,,,,,,,,,,,,,,,,,,
,France,,Female,,1015110,,,,,,,,,,,,,,,,,,,,
,Gabon,,Female,,22488,,10%,10%,10%,,49%,42%,7%,3%,,,,,,,,14238,320184039,1621,36449483
,Gambia,,Female,,24491,40%,11%,9%,11%,34%,47%,42%,8%,3%,15%,10.45,91%,100%,0%,0%,0%,673,16483121,142,3467143
,Georgia,,Female,,47379,41%,10%,12%,15%,34%,47%,38%,10%,5%,19%,,8%,92%,8%,0%,0%,6598,312618958,3652,173041502
,Germany,,Female,,1292311,,,,,,,,,,,,,,,,,,,,
,Ghana,,Female,,562492,44%,10%,11%,12%,61%,45%,43%,9%,3%,12%,18.02,37%,52%,41%,3%,4%,3663,2060484158,702,394741642
,Greece,,Female,,347314,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,64900,22540818324,26282,9128139625
,Grenada,,Female,,4232,,15%,15%,15%,,46%,39%,10%,4%,,,,,,,,13471,57004730,3581,15155473
,Guatemala,,Female,,574116,9%,8%,8%,8%,22%,56%,36%,5%,4%,14%,,,67%,0%,22%,11%,3291,1889377399,1893,1086883043
,Guinea,,Female,,215419,24%,9%,9%,9%,60%,47%,44%,7%,3%,,,97%,,,,,702,151245715,224,48250140
,Guinea-Bissau,,Female,,22879,26%,9%,9%,9%,81%,47%,44%,6%,3%,8%,24,100%,0%,0%,100%,0%,930,21266577,290,6628908
,Guyana,,Female,,33903,,15%,15%,15%,,46%,39%,10%,4%,,,,,,,,5622,190598432,1492,50594345
,Haiti,,Female,,410484,,15%,15%,15%,,46%,39%,10%,4%,,,,,,,,4212,1728955722,1120,459666108
,Honduras,,Female,,321295,49%,18%,25%,29%,20%,37%,35%,22%,7%,13%,,,84%,15%,0%,1%,7125,2289096288,1473,473181894
,Hong Kong,,Female,,367622,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,39721,14602222048,118332,43501427649
,Hungary,,Female,,262275,70%,30%,28%,39%,25%,37%,24%,27%,12%,19%,,1%,87%,12%,0%,1%,26202,6872156649,8840,2318603508
,Iceland,,Female,,10590,,,,,,,,,,,,,,,,,,,,
,India,,Female,,10790016,51%,7%,9%,16%,29%,41%,46%,6%,7%,9%,35.03,66%,,,,,1808,19513418817,2700,29134074925
,Indonesia,,Female,,16633511,21%,7%,9%,11%,17%,44%,45%,8%,3%,20%,,,23%,39%,34%,4%,794,13208994912,689,11457111481
,Iran,,Female,,957893,,8%,10%,16%,,45%,38%,12%,5%,,,,,,,,6799,6512793510,8952,8574873355
,Iraq,,Female,,456844,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,3894,1778755005,209,95331947
,Ireland,,Female,,64591,,,,,,,,,,,,,,,,,,,,
,Italy,,Female,,1994696,,,,,,,,,,,,,,,,,,,,
,Jamaica,,Female,,222763,,15%,15%,15%,,46%,39%,10%,4%,,,,,,,,11260,2508415006,2495,555818745
,Japan,,Female,,2781079,,,,,,,,,,,,,,,,,,,,
,Jordan,,Female,,102563,45%,10%,11%,15%,20%,47%,38%,9%,5%,33%,22.31,23%,94%,3%,0%,3%,5706,585238969,314,32219853
,Kazakhstan,,Female,,255953,55%,8%,11%,14%,29%,47%,39%,11%,3%,19%,,21%,100%,0%,0%,0%,13880,3552748115,6289,1609790636
,Kenya,,Female,,553092,50%,11%,12%,12%,52%,45%,42%,9%,3%,15%,,,,,,,2382,1317301797,1047,578978552
,Kuwait,,Female,,35973,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,82192,2956741617,4855,174637224
,Kyrgyz Republic,,Female,,62664,29%,10%,11%,15%,31%,45%,39%,11%,4%,25%,,22%,78%,13%,9%,0%,2284,143116080,1618,101413212
,Laos,,Female,,263207,39%,7%,9%,11%,32%,48%,41%,8%,3%,13%,,0%,25%,51%,24%,0%,1311,345187815,4544,1196114520
,Latvia,,Female,,41806,69%,13%,22%,25%,23%,40%,35%,15%,10%,10%,,26%,72%,26%,0%,2%,18194,760609061,3283,137246109
,Lebanon,,Female,,36696,49%,8%,11%,15%,47%,44%,41%,11%,4%,,19.01,19%,,,,,7915,290444314,694,25451314
,Lesotho,,Female,,32126,,10%,10%,10%,,49%,42%,7%,3%,,,,,,,,2107,67700911,250,8025103
,Liberia,,Female,,57051,,10%,10%,10%,,49%,42%,7%,3%,,,,,,,,2186,124718460,458,26141265
,Libyan Arab Jamahiriya,,Female,,96015,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,20985,2014907352,1125,107988475
,Lithuania,,Female,,70892,70%,9%,22%,24%,23%,44%,33%,16%,8%,8%,,7%,89%,11%,0%,0%,21050,1492308395,3972,281551992
,Luxembourg,,Female,,11702,,,,,,,,,,,,,,,,,,,,
,Macedonia (the former Yugoslav Republic of),,Female,,25066,66%,8%,16%,18%,29%,44%,38%,15%,3%,18%,,71%,92%,0%,8%,0%,8915,223464735,2214,55486358
,Madagascar,,Female,,433278,7%,7%,7%,7%,44%,25%,68%,5%,1%,,,,,,,,2377,1029953900,684,296524902
,Malawi,,Female,,391526,,10%,10%,10%,,49%,42%,7%,3%,,,,,,,,607,237649696,109,42750969
,Malaysia,,Female,,1285038,100%,7%,9%,11%,0%,48%,41%,8%,3%,,,0%,,,,,5163,6634231385,19852,25511112359
,Maldives,,Female,,3706,,8%,10%,16%,,45%,38%,12%,5%,,,,,,,,5572,20646679,7642,28317996
,Mali,,Female,,149668,56%,11%,11%,11%,,22%,67%,8%,3%,,,,33%,0%,67%,0%,1790,267884855,172,25791886
,Mauritania,,Female,,47297,34%,11%,11%,12%,51%,46%,42%,9%,3%,13%,19.19,26%,100%,0%,0%,0%,4176,197529284,593,28070357
,Mauritius,,Female,,44822,64%,18%,18%,18%,49%,58%,24%,11%,7%,,,,,,,,2198,98513497,289,12965469
,Mexico,,Female,,4412729,18%,15%,15%,15%,15%,46%,39%,10%,5%,8%,24.57,22%,87%,11%,2%,1%,4790,21136335325,753,3323554333
,Micronesia,,Female,,4924,54%,7%,11%,13%,26%,46%,41%,9%,4%,20%,,,57%,25%,0%,19%,3382,16651074,7156,35236854
,Moldova,,Female,,24329,68%,17%,25%,30%,28%,37%,33%,21%,9%,19%,,19%,80%,17%,3%,0%,11732,285423734,2289,55686770
,Mongolia,,Female,,125564,29%,9%,12%,15%,42%,45%,39%,11%,4%,20%,,27%,95%,5%,0%,0%,1026,128767779,3865,485258186
,Montenegro,,Female,,11220,53%,21%,23%,30%,9%,34%,36%,18%,12%,13%,,28%,68%,17%,15%,0%,17421,195469551,9576,107444767
,Morocco,,Female,,542280,51%,10%,11%,13%,84%,47%,40%,10%,3%,7%,55.95,3%,100%,0%,0%,0%,5155,2795404190,4467,2422351784
,Mozambique,,Female,,203868,34%,10%,10%,10%,49%,49%,42%,7%,3%,9%,18,54%,82%,0%,16%,2%,417,84942665,175,35600903
,Namibia,,Female,,33148,55%,14%,11%,15%,24%,47%,39%,8%,6%,24%,54.86,51%,92%,8%,0%,0%,4539,150470044,818,27101804
,Nepal,,Female,,405259,22%,32%,32%,32%,9%,42%,26%,22%,10%,22%,,,1%,0%,0%,99%,786,318357212,1637,663407550
,Netherlands,,Female,,301508,,,,,,,,,,,,,,,,,,,,
,New Zealand,,Female,,63913,,,,,,,,,,,,,,,,,,,,
,Nicaragua,,Female,,281561,42%,15%,17%,17%,20%,45%,38%,12%,6%,16%,,,74%,0%,21%,6%,4009,1128640507,1058,297786864
,Niger,,Female,,226488,,10%,10%,10%,,49%,42%,7%,3%,,,,,,,,7146,1618432271,1367,309567936
,Nigeria,,Female,,2983519,,9%,9%,10%,,46%,44%,7%,3%,11%,,,,,,,1086,3239693469,232,691247989
,Norway,,Female,,117245,,,,,,,,,,,,,,,,,,,,
,Oman,,Female,,20029,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,16711,334712212,1406,28162870
,Pakistan,,Female,,1791618,30%,7%,9%,15%,7%,45%,39%,11%,5%,36%,39.26,0%,98%,0%,2%,0%,788,1410968427,504,902460066
,Palestine,,Female,,61945,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,5211,322812265,279,17301046
,Panama,,Female,,115739,36%,16%,15%,16%,4%,45%,39%,11%,5%,23%,,,88%,10%,2%,0%,5269,609861690,2146,248392892
,Papua New Guinea,,Female,,301722,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2755,831247631,9845,2970341071
,Paraguay,,Female,,546472,44%,22%,20%,25%,24%,40%,35%,16%,8%,7%,,,54%,0%,45%,0%,5327,2910832421,1499,819324672
,Peru,,Female,,1217829,23%,29%,28%,30%,34%,32%,38%,14%,16%,11%,,,41%,0%,41%,18%,5007,6098004125,2775,3379123330
,Philippines,,Female,,2277612,51%,8%,10%,13%,13%,48%,40%,9%,4%,17%,,,92%,1%,7%,0%,2992,6815619941,2375,5409936605
,Poland,,Female,,944015,84%,21%,18%,26%,29%,42%,32%,21%,5%,14%,,17%,40%,59%,0%,0%,17463,16484877379,2632,2484189905
,Portugal,,Female,,362848,,,,,,,,,,,,,,,,,,,,
,Qatar,,Female,,12822,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,123418,1582430065,7510,96288757
,Republic of Korea,,Female,,2262912,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,23093,52257553880,82520,186734677752
,Romania,,Female,,380372,28%,14%,15%,19%,41%,45%,36%,15%,4%,33%,,13%,89%,2%,9%,0%,15260,5804429909,15192,5778443375
,Russia,,Female,,1269783,58%,12%,10%,16%,44%,43%,41%,12%,4%,15%,,30%,70%,23%,7%,0%,13212,16775745440,15638,19856994354
,Rwanda,,Female,,86466,37%,15%,14%,16%,37%,44%,40%,12%,4%,27%,24.61,25%,100%,0%,0%,0%,1105,95566237,290,25053119
,Saint Lucia,,Female,,8464,,15%,15%,15%,,46%,39%,10%,4%,,,,,,,,13673,115724823,3635,30766999
,Saint Vincent and the Grenadines,,Female,,4232,,15%,15%,15%,,46%,39%,10%,4%,,,,,,,,11392,48209598,3029,12817169
,Samoa,,Female,,8643,51%,8%,10%,12%,17%,47%,40%,9%,4%,18%,,,97%,0%,0%,3%,6598,57029360,19176,165745903
,Sao Tome and Principe,,Female,,3111,,10%,10%,10%,,49%,42%,7%,3%,,,,,,,,3123,9715830,655,2036459
,Saudi Arabia,,Female,,383083,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,110043,42155813357,417,159848872
,Senegal,,Female,,187723,45%,12%,11%,13%,38%,46%,42%,9%,4%,17%,30.32,29%,70%,3%,22%,5%,5023,942848115,211,39628221
,Serbia,,Female,,100329,63%,24%,22%,28%,29%,41%,31%,24%,4%,10%,,31%,96%,2%,1%,1%,13231,1327439008,4705,472015845
,Sierra Leone,,Female,,85576,,10%,10%,10%,,49%,42%,7%,3%,,,,,,,,861,73661389,183,15655301
,Singapore,,Female,,233566,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,44906,10488558329,138533,32356647862
,Slovakia,,Female,,59370,8%,16%,16%,22%,25%,43%,35%,16%,6%,16%,,18%,80%,16%,0%,3%,22244,1320627097,37611,2232940478
,Slovenia,,Female,,50036,70%,27%,37%,41%,15%,33%,26%,25%,17%,10%,,2%,30%,67%,4%,0%,81272,4066516719,26300,1315959652
,Solomon Islands,,Female,,23572,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2535,59749983,9058,213507772
,Somalia,,Female,,134730,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,3576,481795766,192,25821728
,Zimbabwe,,Female,,49385,,10%,10%,10%,,49%,42%,7%,3%,,,,,,,,6042,298383768,576,28444013
,South Africa,,Female,,967900,49%,11%,10%,11%,22%,48%,41%,7%,4%,12%,31.26,4%,96%,0%,4%,0%,4492,4347328372,7206,6974783885
,Spain,,Female,,1204301,,,,,,,,,,,,,,,,,,,,
,Sri Lanka,,Female,,270120,,8%,10%,16%,,45%,38%,12%,5%,,,,,,,,3385,914436998,4742,1281035054
,Sudan,,Female,,392780,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,5180,2034772330,346,135924290
,Suriname,,Female,,21159,,15%,15%,15%,,46%,39%,10%,4%,,,,,,,,11945,252743644,3176,67195293
,Swaziland,,Female,,19026,53%,12%,11%,12%,37%,48%,40%,9%,4%,25%,53.37,20%,76%,19%,5%,0%,3481,66235628,541,10291875
,Sweden,,Female,,185349,,,,,,,,,,,,,,,,,,,,
,Switzerland,,Female,,158515,,,,,,,,,,,,,,,,,,,,
,Syria,,Female,,216625,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,8797,1905726711,384,83212736
,Tajikistan,,Female,,95608,41%,9%,14%,17%,32%,42%,41%,11%,6%,12%,,15%,58%,39%,2%,1%,744,71104437,454,43387574
,Tanzania,,Female,,1145484,48%,10%,10%,10%,45%,45%,44%,7%,3%,28%,23.35,34%,48%,2%,49%,0%,474,543463305,109,125337773
,Thailand,,Female,,5068952,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,5632,28549564536,20459,103704882512
,Timor-Leste,,Female,,47487,42%,7%,9%,11%,30%,48%,41%,8%,3%,,,,60%,40%,0%,0%,1466,69598114,4877,231596107
,Togo,,Female,,101197,,10%,10%,10%,,49%,42%,7%,3%,,,,,,,,2377,240510818,498,50411600
,Tonga,,Female,,4842,54%,10%,12%,15%,13%,46%,39%,11%,4%,21%,,,68%,3%,26%,3%,4745,22972793,9586,46412040
,Trinidad and Tobago,,Female,,46719,,15%,15%,15%,,46%,39%,10%,4%,,,,,,,,31171,1456295490,9558,446535846
,Tunisia,,Female,,69903,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,4046,282863106,457,31933052
,Turkey,,Female,,1082012,50%,27%,21%,36%,22%,35%,29%,28%,7%,19%,,6%,21%,17%,0%,61%,20814,22520518688,13245,14330992677
,Turkmenistan,,Female,,63626,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,10246,651926555,3985,253545171
,Uganda,,Female,,431903,41%,10%,10%,10%,52%,48%,42%,7%,3%,13%,18.35,23%,70%,0%,30%,0%,565,244142901,209,90166317
,Ukraine,,Female,,207512,67%,23%,14%,28%,34%,37%,35%,20%,8%,19%,,16%,91%,7%,1%,0%,6611,1371765629,3889,807009497
,United Arab Emirates,,Female,,57611,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,63611,3664699520,4258,245285331
,United Kingdom,,Female,,1007859,,,,,,,,,,,,,,,,,,,,
,United States,,Female,,10465623,,,,,,,,,,,,,,,,,,,,
,Uruguay,,Female,,142675,42%,18%,17%,20%,21%,43%,37%,14%,6%,6%,,,63%,30%,6%,1%,14274,2036555620,3079,439296019
,Uzbekistan,,Female,,339673,58%,7%,10%,13%,20%,46%,42%,8%,4%,12%,,7%,47%,48%,5%,0%,9238,3137885930,1721,584667488
,Venezuela,,Female,,1204391,61%,14%,15%,17%,30%,45%,38%,11%,6%,18%,,,98%,2%,0%,0%,12928,15570184027,3522,4241325125
,Vietnam,,Female,,4406640,46%,8%,11%,14%,25%,46%,41%,9%,5%,17%,,,60%,40%,0%,0%,2850,12558572847,6676,29418688251
,Yemen,,Female,,339236,29%,7%,9%,11%,29%,48%,40%,8%,3%,5%,,,97%,3%,0%,0%,1279,433888528,91,30974611
,Zambia,,Female,,194164,50%,14%,10%,15%,25%,45%,40%,9%,5%,11%,21.6,18%,66%,27%,6%,1%,4412,856721989,730,141759100
Central Asia and Eastern Europe,,,Female,,6832950,59%,18%,17%,24%,28%,41%,35%,19%,6%,15%,26.08,15%,53%,31%,1%,15%,18831,128674218062,10083,68899125918
East Asia,,,Female,,90083305,30%,7%,9%,11%,18%,47%,41%,8%,3%,19%,,15%,31%,37%,28%,3%,3618,325919339949,14185,1277806537463
Latin America,,,Female,,22520573,46%,24%,22%,26%,38%,40%,34%,18%,7%,14%,24.57,17%,59%,12%,24%,6%,10907,245639928141,2549,57394765036
MENA,,,Female,,5325711,46%,8%,9%,12%,48%,47%,41%,8%,4%,14%,34.99,52%,51%,39%,10%,0%,13693,72923518192,1334,7102006898
South Asia,,,Female,,16812770,47%,8%,10%,17%,28%,42%,43%,8%,6%,9%,35.03,66%,5%,0%,0%,94%,1841,30956966801,2587,43499982617
Sub-Saharan Africa,,,Female,,12824326,41%,10%,10%,11%,46%,44%,45%,8%,3%,15%,24.65,23%,44%,3%,38%,15%,2325,29814085613,940,12053972700
,,,Female,,154399635,37%,11%,12%,15%,26%,45%,41%,10%,4%,17%,28.34,23%,35%,27%,24%,15%,5401,833928056757,9500,1466756390631
,Afghanistan,,Female,SME,801,96%,69%,0%,69%,28%,0%,31%,47%,22%,,,,,,,,23268,18646227,2907,2329486
,Albania,,Female,SME,2356,100%,95%,65%,96%,21%,4%,0%,68%,28%,28%,26.08,2%,98%,0%,2%,0%,37706,88851652,0,0
,Algeria,,Female,SME,29753,87%,47%,29%,50%,53%,24%,26%,42%,9%,13%,36.44,43%,28%,57%,15%,0%,55692,1656975937,2408,71634641
,Angola,,Female,SME,0,,,,,,,,,,,,,,,,,,1018184872,,48106544
,Argentina,,Female,SME,57811,99%,79%,46%,83%,42%,3%,13%,74%,9%,7%,,,76%,22%,1%,1%,166101,9602447610,177,10255256
,Armenia,,Female,SME,17455,90%,38%,35%,55%,32%,24%,21%,40%,15%,20%,,21%,82%,12%,4%,3%,20292,354194668,3484,60815229
,Australia,,Female,SME,149686,,,,,,,,,,,,,,,,,0,0,0,0
,Austria,,Female,SME,38909,,,,,,,,,,,,,,,,,0,0,0,0
,Azerbaijan,,Female,SME,6721,59%,7%,5%,11%,31%,30%,60%,9%,2%,12%,,68%,94%,6%,0%,0%,23522,158083869,10841,72860573
,Bahrain,,Female,SME,883,,,,,,,,,,,,,,,,,408558,360839634,13944,12315736
,Bangladesh,,Female,SME,62397,100%,,,,24%,,,,,,,,,,,,2637,164514392,1794,111959689
,Barbados,,Female,SME,699,,,,,,,,,,,,,,,,,100805,70422166,13057,9121548
,Belarus,,Female,SME,33083,88%,31%,42%,54%,40%,19%,27%,32%,22%,15%,,23%,62%,38%,0%,0%,52988,1753017544,11710,387398290
,Belgium,,Female,SME,53605,,,,,,,,,,,,,,,,,0,0,0,0
,Belize,,Female,SME,6686,,,,,,,,,,,,,,,,,61587,411769785,6062,40526873
,Benin,,Female,SME,701,,,,,,,,,,,,,,,,,291318,204081877,13764,9642329
,Bhutan,,Female,SME,301,85%,31%,28%,43%,33%,27%,30%,38%,5%,19%,,,,,,,11501,3458633,2541,764045
,Bolivia,,Female,SME,27922,96%,57%,35%,63%,31%,16%,21%,47%,17%,9%,,,65%,0%,23%,12%,36108,1008220313,1452,40550366
,Bosnia and Herzegovina,,Female,SME,17074,,,,,,,,,,,,,,,,,66051,1127773187,12340,210698388
,Botswana,,Female,SME,0,,,,,,,,,,,,,,,,,,118939221,,7148313
,Brazil,,Female,SME,341480,98%,80%,60%,85%,48%,7%,8%,66%,18%,11%,,18%,52%,44%,4%,0%,132015,45080287447,2928,999752270
,Brunei Darussalam,,Female,SME,8718,,,,,,,,,,,,,,,,,310694,2708644178,273979,2388563233
,Bulgaria,,Female,SME,27079,100%,40%,49%,56%,20%,26%,18%,38%,18%,28%,,3%,92%,8%,0%,0%,23355,632423555,0,0
,Burkina Faso,,Female,SME,0,,,,,,,,,,,,,,,,,,454468065,,19445698
,Burma (Myanmar),,Female,SME,100602,,,,,,,,,,,,,,,,,10659,1072288959,18295,1840483103
,Burundi,,Female,SME,12507,94%,32%,40%,43%,57%,16%,41%,35%,8%,18%,31.33,39%,81%,2%,5%,12%,6768,84653709,152,1896478
,Cambodia,,Female,SME,9890,,,,,,,,,,,,,,,,,17378,171861019,16450,162677566
,Cameroon,,Female,SME,0,,,,,,,,,,,,,,,,,,8648351,,651012
,Canada,,Female,SME,175219,,,,,,,,,,,,,,,,,0,0,0,0
,Cape Verde,,Female,SME,0,,,,,,,,,,,,,,,,,,13428581,,573662
,Central African Republic,,Female,SME,4927,,,,,,,,,,,,,,,,,19199,94586913,907,4468982
,Chad,,Female,SME,0,,,,,,,,,,,,,,,,,,264240862,,12484682
,Chile,,Female,SME,70508,92%,78%,68%,84%,27%,5%,11%,54%,29%,10%,,,93%,7%,0%,0%,63794,4497970225,1801,127009650
,China,,Female,SME,0,,,,,,,,,,,,,,,,,,25018719309,,43285992813
,Colombia,,Female,SME,124604,100%,78%,56%,86%,45%,4%,10%,76%,10%,10%,,,94%,0%,6%,0%,31996,3986881361,0,0
,Comoros,,Female,SME,687,,,,,,,,,,,,,,,,,22300,15330121,1054,724308
,"Congo, Dem. Rep.",,Female,SME,0,,,,,,,,,,,,,,,,,,1200617531,,56726005
,"Congo, Rep.",,Female,SME,0,,,,,,,,,,,,,,,,,,246128754,,9197965
,Costa Rica,,Female,SME,8997,95%,29%,58%,66%,43%,21%,13%,60%,6%,21%,,,30%,59%,9%,2%,70548,634742284,1380,12419377
,Cote d'Ivoire,,Female,SME,0,,,,,,,,,,,,,,,,,,583416934,,27564908
,Croatia,,Female,SME,9207,100%,47%,70%,81%,21%,9%,10%,64%,18%,15%,,33%,72%,25%,3%,0%,118842,1094153417,0,0
,Cuba,,Female,SME,26081,,,,,,,,,,,,,,,,,94705,2470000701,12267,319930929
,Bahamas,Micro,,,6401,,,,,,,,,,,,,,,,,57334,367004002,3034,19423090
,Czech Republic,,Female,SME,86143,100%,51%,30%,55%,5%,27%,18%,48%,7%,15%,,23%,74%,26%,0%,1%,41055,3536615824,0,0
,Democratic People's Republic of Korea,,Female,SME,314144,,,,,,,,,,,,,,,,,13645,4286531404,30248,9502063866
,Denmark,,Female,SME,28883,,,,,,,,,,,,,,,,,0,0,0,0
,Djibouti,,Female,SME,695,,,,,,,,,,,,,,,,,39855,27707090,1411,980777
,Dominican Republic,,Female,SME,4039,,,,,,,,,,,,,,,,,86767,350421211,9336,37706587
,Ecuador,,Female,SME,67777,100%,81%,56%,86%,22%,13%,0%,71%,15%,12%,,,83%,1%,16%,0%,43869,2973286304,0,0
,Egypt,,Female,SME,39764,66%,6%,11%,14%,34%,38%,48%,7%,6%,28%,29.8,100%,,,,,7111,282771577,6191,246183100
,El Salvador,,Female,SME,13755,81%,36%,33%,51%,18%,30%,20%,36%,15%,13%,,,98%,2%,0%,1%,23674,325638232,2089,28729435
,Equatorial Guinea,,Female,SME,687,,,,,,,,,,,,,,,,,204868,140835154,9679,6654089
,Eritrea,,Female,SME,0,,,,,,,,,,,,,,,,,,59487366,,3101614
,Estonia,,Female,SME,7273,96%,45%,49%,62%,8%,29%,9%,14%,48%,8%,,14%,79%,2%,10%,9%,31334,227884630,3482,25321867
,Ethiopia,,Female,SME,70252,93%,46%,56%,63%,46%,18%,18%,51%,12%,,28.03,16%,72%,20%,6%,3%,27018,1898091255,2190,153822730
,Fiji,,Female,SME,2019,99%,58%,32%,62%,3%,37%,1%,36%,27%,22%,,,100%,0%,0%,0%,10200,20594423,4434,8951603
,Finland,,Female,SME,26720,,,,,,,,,,,,,,,,,0,0,0,0
,France,,Female,SME,321225,,,,,,,,,,,,,,,,,0,0,0,0
,Gabon,,Female,SME,0,,,,,,,,,,,,,,,,,,259801869,,10521556
,Gambia,,Female,SME,1438,78%,35%,7%,35%,34%,14%,52%,22%,12%,15%,10.45,91%,100%,0%,0%,0%,7474,10748157,665,955582
,Georgia,,Female,SME,4470,89%,35%,40%,51%,34%,34%,15%,32%,19%,19%,,8%,92%,8%,0%,0%,35107,156930019,3342,14940681
,Germany,,Female,SME,259102,,,,,,,,,,,,,,,,,0,0,0,0
,Ghana,,Female,SME,57684,82%,16%,23%,29%,61%,17%,54%,25%,4%,12%,18.02,37%,52%,41%,3%,4%,24772,1428935645,2110,121716114
,Greece,,Female,SME,79434,,,,,,,,,,,,,,,,,112387,8927347504,21618,1717176085
,Grenada,,Female,SME,233,,,,,,,,,,,,,,,,,61344,14284913,7946,1850277
,Guatemala,,Female,SME,19691,57%,48%,50%,69%,20%,19%,12%,50%,19%,14%,,,72%,6%,23%,0%,50177,988027580,20168,397130692
,Guinea,,Female,SME,11183,43%,4%,0%,4%,60%,11%,85%,4%,0%,,,97%,,,,,6473,72386104,564,6311954
,Guinea-Bissau,,Female,SME,1267,67%,0%,1%,1%,81%,10%,88%,1%,0%,8%,24,100%,0%,0%,100%,0%,7752,9818468,552,699394
,Guyana,,Female,SME,1869,,,,,,,,,,,,,,,,,25532,47709472,3310,6184804
,Haiti,,Female,SME,22588,,,,,,,,,,,,,,,,,19181,433261977,2484,56118975
,Honduras,,Female,SME,30432,83%,45%,49%,63%,23%,17%,20%,46%,17%,12%,,,92%,1%,1%,5%,57558,1751627139,6147,187053630
,Hong Kong,,Female,SME,31228,,,,,,,,,,,,,,,,,137143,4282728255,271524,8479234463
,Hungary,,Female,SME,67680,95%,55%,50%,69%,25%,25%,5%,48%,21%,19%,,1%,87%,12%,0%,1%,56996,3857530427,6187,418744124
,Iceland,,Female,SME,3239,,,,,,,,,,,,,,,,,0,0,0,0
,India,,Female,SME,86023,98%,30%,31%,32%,18%,54%,14%,13%,20%,9%,46.38,19%,,,,,7392,635875140,1543,132740321
,Indonesia,,Female,SME,2284937,37%,5%,10%,11%,17%,25%,63%,8%,4%,20%,,,23%,39%,34%,4%,2499,5710507312,2318,5296277021
,Iran,,Female,SME,26970,,,,,,,,,,,,,,,,,19845,535216809,16081,433700699
,Iraq,,Female,SME,25635,,,,,,,,,,,,,,,,,31656,811508434,1121,28725806
,Ireland,,Female,SME,14148,,,,,,,,,,,,,,,,,0,0,0,0
